,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
111,111,0.2987790681447192,2023-06-10 16:12:38.242393,2023-06-10 16:12:41.788499,0 days 00:00:03.546106,0.035767509179126834,,8,Lossguide,777,96.74293893262636,0.006829527629235197,32,93,COMPLETE
112,112,0.2991805307726674,2023-06-10 16:12:41.789224,2023-06-10 16:12:44.289003,0 days 00:00:02.499779,0.040567298428306524,,7,Lossguide,967,33.90371137268991,0.006418188694416564,32,81,COMPLETE
113,113,0.3102918390017442,2023-06-10 16:12:44.289717,2023-06-10 16:12:46.152017,0 days 00:00:01.862300,0.031639903900088924,,8,Lossguide,808,15.876513330983869,0.0071994092780542675,32,99,COMPLETE
114,114,0.3708999549406926,2023-06-10 16:12:46.152680,2023-06-10 16:12:50.925383,0 days 00:00:04.772703,0.05130535964922158,,7,Lossguide,927,59.583154774340215,0.003479232187324059,3,95,COMPLETE
115,115,0.3045509402038896,2023-06-10 16:12:50.926077,2023-06-10 16:12:53.230779,0 days 00:00:02.304702,0.022196866839309853,,7,Lossguide,872,22.421409669002596,0.005569473606320776,32,86,COMPLETE
116,116,0.3841510369013785,2023-06-10 16:12:53.231390,2023-06-10 16:12:55.610645,0 days 00:00:02.379255,0.026895790106453207,,7,Lossguide,821,99.06384757166512,0.009762111216948212,4,91,COMPLETE
117,117,0.30258214785462767,2023-06-10 16:12:55.611304,2023-06-10 16:12:57.119717,0 days 00:00:01.508413,0.04241823074134065,,6,Lossguide,794,38.16380015561237,0.012509500740458602,32,97,COMPLETE
118,118,0.29883293579430137,2023-06-10 16:12:57.120388,2023-06-10 16:12:59.427831,0 days 00:00:02.307443,0.016991899339842555,,8,Lossguide,855,66.63320108198566,0.008574837061555644,32,89,COMPLETE
119,119,0.4300953108017631,2023-06-10 16:12:59.428461,2023-06-10 16:13:01.364255,0 days 00:00:01.935794,0.03502918643714924,,7,Lossguide,886,20.290044850532517,0.004991152118268248,2,92,COMPLETE
120,120,0.3487342067377244,2023-06-10 16:13:01.364878,2023-06-10 16:13:04.297764,0 days 00:00:02.932886,0.07583253029714723,,8,Lossguide,919,37.61213483669218,0.004513196683414615,5,100,COMPLETE
121,121,0.2973815206862762,2023-06-10 16:13:04.298404,2023-06-10 16:13:07.341292,0 days 00:00:03.042888,0.02001479268103989,,7,Lossguide,900,60.54717776262811,0.005778630272077857,32,92,COMPLETE
122,122,0.29858952741054,2023-06-10 16:13:07.342051,2023-06-10 16:13:10.293587,0 days 00:00:02.951536,0.013804155155003852,,7,Lossguide,943,59.188211233588525,0.005873551395336806,32,83,COMPLETE
123,123,0.2984321302845565,2023-06-10 16:13:10.294329,2023-06-10 16:13:13.042291,0 days 00:00:02.747962,0.01966511192279454,,7,Lossguide,839,64.46131327913709,0.0075088872761836,32,96,COMPLETE
124,124,0.31570589856333425,2023-06-10 16:13:13.043081,2023-06-10 16:13:14.846912,0 days 00:00:01.803831,0.019384263219603966,,7,Lossguide,839,13.364621010937087,0.007395157514076914,32,96,COMPLETE
